asset_type,easting,northing,lat,lon
bollard,385622,386837,53.378186999999997,-2.217595200000000
bollard,385631,386876,53.378537999999999,-2.217461700000000
bollard,385607,386885,53.378618000000003,-2.217822900000000
bollard,385595,386873,53.378509999999999,-2.218002700000000
bollard,385714,385671,53.367708999999998,-2.216159100000000
bollard,385715,385667,53.367673000000003,-2.216143900000000
bollard,385632,386728,53.377208000000003,-2.217439900000000
bollard,385695,385770,53.368599000000003,-2.216449200000000
bollard,385694,385777,53.368661000000003,-2.216464500000000
bollard,385561,386967,53.379353999999999,-2.218518100000000
bollard,383836,388629,53.394243000000003,-2.244534600000000
bollard,383842,388630,53.394252000000002,-2.244444400000000
bollard,385185,386090,53.371460999999996,-2.224128900000000
bollard,385189,386091,53.371470000000002,-2.224068800000000
bollard,385018,388363,53.391886999999997,-2.226747400000000
bollard,385008,388363,53.391886999999997,-2.226897800000000
bollard,385045,388368,53.391933000000002,-2.226341700000000
bollard,385050,388368,53.391933000000002,-2.226266500000000
bollard,385318,388442,53.392605000000003,-2.222240100000000
bollard,385323,388441,53.392597000000002,-2.222164900000000
bollard,385371,388427,53.392471999999998,-2.221442500000000
bollard,385365,388428,53.392480999999997,-2.221532700000000
bollard,385459,388461,53.392780000000002,-2.220120800000000
bollard,385463,388464,53.392806999999998,-2.220060800000000
bollard,385620,388564,53.393709999999999,-2.217704500000000
bollard,385617,388561,53.393683000000003,-2.217749500000000
bollard,384371,388486,53.392974000000002,-2.236482400000000
bollard,384324,388526,53.393332000000001,-2.237191100000000
bollard,384322,388528,53.393349999999998,-2.237221300000000
bollard,384269,388551,53.393554999999999,-2.238019400000000
bollard,384266,388552,53.393563999999998,-2.238064600000000
bollard,384368,388489,53.393000000000001,-2.236527600000000
bollard,384500,388604,53.394038000000002,-2.234548400000000
bollard,384485,388606,53.394055999999999,-2.234774100000000
bollard,384484,388579,53.393813000000002,-2.234787800000000
bollard,384684,385901,53.369748000000001,-2.231649500000000
bollard,384684,385898,53.369720999999998,-2.231649300000000
bollard,384033,388315,53.391426000000003,-2.241556200000000
bollard,384038,388313,53.391409000000003,-2.241480900000000
bollard,384789,385903,53.369768999999998,-2.230071500000000
bollard,384790,385901,53.369751000000001,-2.230056400000000
bollard,385000,388837,53.396146999999999,-2.227040800000000
bollard,385002,388836,53.396138000000001,-2.227010700000000
bollard,385064,386056,53.371152000000002,-2.225945800000000
bollard,385063,386059,53.371178999999998,-2.225961000000000
bollard,388507,382354,53.337963000000002,-2.174063400000000
bollard,388501,382355,53.337972000000001,-2.174153500000000
bollard,387071,384692,53.358944999999999,-2.195725400000000
bollard,387068,384686,53.358891000000000,-2.195770200000000
bollard,387486,385478,53.366019999999999,-2.189521300000000
bollard,387485,385475,53.365993000000003,-2.189536200000000
bollard,387092,384663,53.358685000000001,-2.195408600000000
bollard,387083,384664,53.358693000000002,-2.195543900000000
bollard,389012,384513,53.357379999999999,-2.166555100000000
bollard,389016,384516,53.357407000000002,-2.166495100000000
bollard,388490,384496,53.357216000000001,-2.174397400000000
bollard,388487,384497,53.357225000000000,-2.174442500000000
bollard,385507,384664,53.358651999999999,-2.219223500000000
bollard,385499,384654,53.358561999999999,-2.219343200000000
bollard,385496,384660,53.358615999999998,-2.219388500000000
bollard,386896,384706,53.359065999999999,-2.198355400000000
bollard,386866,384715,53.359146000000003,-2.198806500000000
bollard,386783,384713,53.359126000000003,-2.200053500000000
bollard,386793,384708,53.359082000000001,-2.199903000000000
bollard,386653,384724,53.359222000000003,-2.202007300000000
bollard,386647,384724,53.359222000000003,-2.202097400000000
bollard,387056,384672,53.358764999999998,-2.195949900000000
bollard,387049,384672,53.358764000000001,-2.196055100000000
bollard,389113,383979,53.352581999999998,-2.165019100000000
bollard,389196,383795,53.350929999999998,-2.163765800000000
bollard,389199,383791,53.350893999999997,-2.163720600000000
bollard,389257,383660,53.349718000000003,-2.162844800000000
bollard,389248,383679,53.349888000000000,-2.162980600000000
bollard,389209,383674,53.349843000000000,-2.163566300000000
bollard,389224,383708,53.350149000000002,-2.163342200000000
bollard,389227,383713,53.350194000000002,-2.163297300000000
bollard,389595,383120,53.344870999999998,-2.157749400000000
bollard,389599,383115,53.344825999999998,-2.157689200000000
bollard,389053,384497,53.357236999999998,-2.165938500000000
bollard,389054,384492,53.357191999999998,-2.165923300000000
bollard,389454,391494,53.420138000000001,-2.160149900000000
bollard,389444,391499,53.420183000000002,-2.160300600000000
bollard,386701,390209,53.408524999999997,-2.201519000000000
bollard,386696,390207,53.408507000000000,-2.201594100000000
bollard,388896,390937,53.415120000000002,-2.168526200000000
bollard,388894,390930,53.415056999999997,-2.168556000000000
bollard,388888,390935,53.415101999999997,-2.168646500000000
bollard,389079,391107,53.416651999999999,-2.165778900000000
bollard,389078,391103,53.416615999999998,-2.165793800000000
bollard,389362,391355,53.418886999999998,-2.161529500000000
bollard,389122,391215,53.417624000000004,-2.165135700000000
bollard,389123,391218,53.417650999999999,-2.165120800000000
bollard,388477,389965,53.406374000000000,-2.174794200000000
bollard,388517,390009,53.406770000000002,-2.174194100000000
bollard,388516,390011,53.406787999999999,-2.174209200000000
bollard,388526,390009,53.406770999999999,-2.174058800000000
bollard,388547,390025,53.406914999999998,-2.173743500000000
bollard,388551,390029,53.406950999999999,-2.173683400000000
bollard,388842,392734,53.431271000000002,-2.169402900000000
bollard,388836,392739,53.431316000000002,-2.169493400000000
bollard,389787,392561,53.429735000000001,-2.155174300000000
bollard,389792,392561,53.429735999999998,-2.155099100000000
bollard,388867,392721,53.431154999999997,-2.169026200000000
bollard,388862,392723,53.431173000000001,-2.169101500000000
bollard,388999,393033,53.433962000000001,-2.167050500000000
bollard,388997,393031,53.433943999999997,-2.167080600000000
bollard,388062,392472,53.428899000000001,-2.181132500000000
bollard,385811,390555,53.411611999999998,-2.214922700000000
bollard,385811,390561,53.411665999999997,-2.214922900000000
bollard,385821,390630,53.412286000000002,-2.214775600000000
bollard,385822,390635,53.412331000000002,-2.214760800000000
bollard,385856,390877,53.414507000000000,-2.214260300000000
bollard,385856,390881,53.414543000000002,-2.214260400000000
bollard,385859,390909,53.414794999999998,-2.214216600000000
bollard,385859,390913,53.414831000000000,-2.214216700000000
bollard,385876,391076,53.416297000000000,-2.213968300000000
bollard,385876,391080,53.416331999999997,-2.213968500000000
bollard,385876,391076,53.416297000000000,-2.213968300000000
bollard,385876,391080,53.416331999999997,-2.213968500000000
bollard,388070,392500,53.429150999999997,-2.181013100000000
bollard,388068,392504,53.429186999999999,-2.181043400000000
bollard,389021,390186,53.408372000000000,-2.166619200000000
bollard,389028,390185,53.408363000000001,-2.166513800000000
bollard,389014,390192,53.408425999999999,-2.166724700000000
bollard,389006,390194,53.408444000000003,-2.166845100000000
