UN_Unit,Unit_Reference,Unit_Location,Type_Description,Road_Name,GISEasting,GISNorthing,Elexon_Lamp_Unit_Type
211408,DC900,opp junc watkinson road,Lamp Column,Piper Close,530697.4822,185011.4746,CPO-TW
211409,MC362,jinc lever street,Lamp Column,Goswell Road,531890.2599,182568.3471,LED
211410,MC361,junc lever street,Lamp Column,Goswell Road,531895.3939,182546.1739,LED
211412,MC359,o/s 131,Lamp Column,Goswell Road,531895.5278,182524.6379,LED
211413,MC360,o/s 186,Lamp Column,Goswell Road,531908.9036,182526.0399,LED
211414,MC357,o/s 8-36,Lamp Column,Goswell Road,531906.835,182496.0367,LED
211415,MC358,o/s 170,Lamp Column,Goswell Road,531918.4396,182494.3047,LED
211416,MC355,opp junc seward street,Lamp Column,Goswell Road,531912.8906,182468.54,LED
211417,MC356,near junc seward street,Lamp Column,Goswell Road,531926.5671,182468.0399,LED
211418,MC353,junc compton street,Lamp Column,Goswell Road,531917.3154,182447.8275,LED
211419,MC354,opp junc compton street,Lamp Column,Goswell Road,531932.1552,182448.8667,LED
211420,MC351,o/s 93-91,Lamp Column,Goswell Road,531928.0625,182417.75,LED
211421,MC352,o/s 142 - 146,Lamp Column,Goswell Road,531941.0768,182418.6935,LED
211422,MC350,junc peartree street,Lamp Column,Goswell Road,531946.6912,182397.1575,LED
211423,MC349,o/s 91,Lamp Column,Goswell Road,531933.7501,182393.017,LED
211424,MC348,o/s 132,Lamp Column,Goswell Road,531955.5245,182369.4156,LED
211425,MC347,o/s 75,Lamp Column,Goswell Road,531940.6875,182368.8281,LED
211426,MC345,o/s 67-71,Lamp Column,Goswell Road,531950.6063,182334.5758,LED
211427,MC346,o/s 116-120,Lamp Column,Goswell Road,531963.7304,182335.8667,LED
211428,MC343,opp 104,Lamp Column,Goswell Road,531957.6455,182307.4026,LED
211429,MC344,o/s 104,Lamp Column,Goswell Road,531970.7795,182312.2523,LED
211430,MC341,o/s 45,Lamp Column,Goswell Road,531964.1814,182277.5203,LED
211431,MC342,o/s 90 - 98,Lamp Column,Goswell Road,531978.6356,182278.6935,LED
211432,MC339,opp 88,Lamp Column,Goswell Road,531975.9919,182248.749,LED
211433,MC340,o/s 88,Lamp Column,Goswell Road,531987.1716,182254.8895,LED
211434,MC337,opp 76,Lamp Column,Goswell Road,531986,182229.4219,LED
211435,MC338,o/s 76,Lamp Column,Goswell Road,531998.5572,182235.2359,LED
211438,MC334,o/s 60,Lamp Column,Goswell Road,532040.75,182183.25,LED
211439,MC333,o/s 8,Lamp Column,Goswell Road,532031.2141,182173.821,LED
211440,MC332,o/s 60,Lamp Column,Goswell Road,532056.7206,182163.7817,LED
211441,MC331,o/s 4,Lamp Column,Goswell Road,532043.6875,182158.0781,LED
211442,MC330,o/s 27,Lamp Column,Goswell Road,532053.9592,182143.6249,LED
211443,MC327,o/s 23,Lamp Column,Goswell Road,532079.3939,182081.9615,LED
211444,MC326,o/s 71,Lamp Column,Goswell Road,532083.3546,182065.0627,LED
211445,MC325,o/s 71,Lamp Column,Goswell Road,532088.5507,182043.0661,LED
211446,MC324,opp 2,Lamp Column,Goswell Road,532092.3775,182021.87,LED
211448,HC839,o/s 1,Lamp Column,Wakeham Street,532722.4364,184723.3765,LED
211452,CC140,under bridge,Lamp Column,Stroud Green Road,531384.125,186848.875,LED
211453,CC142,under bridge,Lamp Column,Stroud Green Road,531387.875,186867,LED
211454,CC145,under bridge,Lamp Column,Stroud Green Road,531370.5476,186862.6706,LED
211455,CC144,under bridge,Lamp Column,Stroud Green Road,531378.3125,186876.875,LED
211456,CC147,under bridge,Lamp Column,Stroud Green Road,531365,186868.5625,LED
211457,CC146,under bridge,Lamp Column,Stroud Green Road,531372.125,186883.4531,LED
211458,CC148,under bridge,Lamp Column,Stroud Green Road,531366.564,186888.6509,LED
211459,CC002,under bridge,Lamp Column,Stroud Green Road,531358.0625,186875.6563,LED
211460,CC003,under bridge,Lamp Column,Stroud Green Road,531361.492,186893.3569,LED
211461,CC004,under bridge,Lamp Column,Stroud Green Road,531351.6195,186882.0988,LED
211462,CC005,under bridge,Lamp Column,Stroud Green Road,531354.0444,186902.5366,LED
211463,CC006,under bridge,Lamp Column,Stroud Green Road,531344.6875,186889.8906,LED
211464,CC007,under bridge,Lamp Column,Stroud Green Road,531348.3125,186908.0781,LED
211465,CC008,under bridge,Lamp Column,Stroud Green Road,531338.4375,186895.4375,LED
211466,CC009,under bridge,Lamp Column,Stroud Green Road,531341.375,186914.4844,LED
211467,CC010,under bridge,Lamp Column,Stroud Green Road,531332.9375,186901.1563,LED
211468,CC011,under bridge,Lamp Column,Stroud Green Road,531336.375,186920.375,LED
211469,CC012,under bridge,Lamp Column,Stroud Green Road,531327.375,186906.1719,LED
211474,LC1131,o/s 5,Lamp Column,Rosebery Avenue,531116.5278,182205.0334,LED
211476,LC1128,o/s rosebery court,Lamp Column,Rosebery Avenue,531148.1061,182283.1964,LED
211477,LC1130,o/s 30-36,Lamp Column,Rosebery Avenue,531137.5964,182242.8503,LED
211478,LC1129,o/s 29-31,Lamp Column,Rosebery Avenue,531130.8122,182266.7293,LED
211479,LC1127,o/s 38,Lamp Column,Rosebery Avenue,531156.7045,182308.8148,LED
211480,LC1126,opp 40,Lamp Column,Rosebery Avenue,531148.5442,182325.9321,LED
211481,LC1125,opp fire station,Lamp Column,Rosebery Avenue,531153.505,182342.0988,LED
211482,LC1124,o/s fire station,Lamp Column,Rosebery Avenue,531171.2336,182356.2032,LED
211483,LC1123,o/s 2,Lamp Column,Rosebery Avenue,531179.7467,182380.0757,LED
211484,LC1122,side of 114,Lamp Column,Rosebery Avenue,531168.9527,182403.7163,LED
211485,LC1121,junc easton street,Lamp Column,Rosebery Avenue,531174.5671,182426.3079,LED
211486,LC1120,opp junc easton street,Lamp Column,Rosebery Avenue,531188.25,182431.7163,CPO-TW
211487,LC1119,opp 50,Lamp Column,Rosebery Avenue,531182.4886,182451.4582,LED
211488,LC1118,opp 67,Lamp Column,Rosebery Avenue,531198.6063,182463.1739,LED
211491,LC1117,O/S 69,Lamp Column,Rosebery Avenue,531212.9397,182485.0661,LED
211492,LC1116,O/S Greenwood house,Lamp Column,Rosebery Avenue,531229.5671,182501.8667,LED
211493,LC1114,opp 28 - 72,Lamp Column,Rosebery Avenue,531259.0181,182531.0562,LED
211494,LC1113,o/s 72 - 28,Lamp Column,Rosebery Avenue,531284.3741,182534.8111,LED
211495,LC1112,O/S 99,Lamp Column,Rosebery Avenue,531292.6721,182566.9317,LED
211496,LC1115,o/s 70,Lamp Column,Rosebery Avenue,531256.75,182509.1094,LED
211497,LC1111,o/s 86,Lamp Column,Rosebery Avenue,531312.1061,182568.8732,LED
211498,LC1110,opp 121-131,Lamp Column,Rosebery Avenue,531330.6192,182594.1149,LED
211499,LC1109,o/s council offices,Lamp Column,Rosebery Avenue,531346.1814,182613.615,LED
211500,LC1108,o/s 51,Lamp Column,Rosebery Avenue,531341.8483,182628.5792,LED
211501,LC1107,opp 151,Lamp Column,Rosebery Avenue,531362.8709,182632.4647,LED
211504,LC1106,o/s 88,Lamp Column,Rosebery Avenue,531375.9135,182649.1803,LED
211505,LC1133,o/s 161,Lamp Column,Rosebery Avenue,531360.1422,182661.4026,CPO-TW
211506,LC1134,side of 8,Lamp Column,Rosebery Avenue,531359.0475,182676.5888,CPO-TW
211507,LC1105,opp junc green terrace,Lamp Column,Rosebery Avenue,531374.1552,182675.9615,LED
211508,LC1104,opp junc hardwick street,Lamp Column,Rosebery Avenue,531395.7239,182685.5823,LED
211509,LC1136,junc rosebery ave,Lamp Column,Hardwick Street,531364.75,182685.4844,LED
211510,LC1103,junc hardwicke street,Lamp Column,Rosebery Avenue,531389,182702.4375,LED
211512,LC1102,on island o/s 173,Lamp Column,Rosebery Avenue,531402.0625,182710.6094,LED
211514,LC1101,opp 173,Lamp Column,Rosebery Avenue,531416.8613,182727.8148,LED
211515,LC1100,o/s 173,Lamp Column,Rosebery Avenue,531415.375,182753.8125,LED
211516,LC1099,o/s 1-48,Lamp Column,Rosebery Avenue,531440.3741,182771.8404,LED
211517,LC1098,o/s wells house,Lamp Column,Rosebery Avenue,531451.1716,182792.2653,LED
211518,LC1097,o/s 1-48,Lamp Column,Rosebery Avenue,531463.6875,182814.3438,LED
211519,LC1096,opp theatre,Lamp Column,Rosebery Avenue,531474.3089,182832.2949,LED
211520,LC1091,opp 197,Lamp Column,Rosebery Avenue,531519.5879,182916.0448,LED
211521,LC1065,o/s 1-33,Lamp Column,Rosebery Avenue,531485.8319,182850.782,LED
211522,LC1093,o/s 183,Lamp Column,Rosebery Avenue,531493.8807,182886.507,LED
211523,LC1094,near 96,Lamp Column,Rosebery Avenue,531495.6455,182867.0825,LED
211524,LC1092,o/s 104,Lamp Column,Rosebery Avenue,531514.2728,182895.5789,LED
211525,EC780,o/s 66,Lamp Column,Drayton Park,531487.7174,185536.2881,LED
211528,EC783,o/s 72,Lamp Column,Drayton Park,531476,185581,LED
211529,EC782,opp 74,Lamp Column,Drayton Park,531458.0625,185589.4844,LED
211530,EC784,o/s 76,Lamp Column,Drayton Park,531470.1875,185605.9688,LED
211531,EC785,opp 78,Lamp Column,Drayton Park,531451.875,185620.5469,LED
211532,EC787,opp 82,Lamp Column,Drayton Park,531447.75,185640.4063,LED
211533,EC788,o/s 84,Lamp Column,Drayton Park,531457.9375,185652.9219,LED
211534,EC789,opp 90-92,Lamp Column,Drayton Park,531442,185668,LED
211535,EC791,o/s 96,Lamp Column,Drayton Park,531449.6875,185686.3594,LED
211536,EC792,opp 1-84,Lamp Column,Drayton Park,531433.3125,185702.625,LED
211537,EC794,o/s 1-84,Lamp Column,Drayton Park,531440.75,185725.5156,LED
211538,EC796,opp 1-84,Lamp Column,Drayton Park,531424.625,185741.9375,LED
211539,EC797,junc aubert Park,Lamp Column,Drayton Park,531437.1875,185760.3594,LED
211540,EC798,junc aubert park,Lamp Column,Drayton Park,531420.625,185762.4219,LED
211541,EC799,junc aubert park,Lamp Column,Drayton Park,531430.2664,185780.5332,LED
211542,EC800,opp 82,Lamp Column,Drayton Park,531414.125,185792.4375,LED
211543,EC802,o/s 114-118,Lamp Column,Drayton Park,531421.5343,185811.0528,LED
211544,EC803,opp 122,Lamp Column,Drayton Park,531405.0625,185829.9219,LED
211545,EC805,o/s 130,Lamp Column,Drayton Park,531412.25,185851.2188,LED
211546,EC808,o/s 142,Lamp Column,Drayton Park,531404.4266,185886.7194,LED
211549,EC813,o/s 162,Lamp Column,Drayton Park,531392.8807,185939.226,LED
211550,EC814,opp 170,Lamp Column,Drayton Park,531377.5,185953.5469,LED
211551,EC816,o/s 176,Lamp Column,Drayton Park,531385.0539,185974.4385,LED
211552,EC817,opp elfort road,Lamp Column,Drayton Park,531369,185990.7969,LED
211553,EC1139,o/s 186,Lamp Column,Drayton Park,531376.8579,186012.4354,LED
211554,EC1141,opp 192,Lamp Column,Drayton Park,531361.7893,186030.6215,LED
211555,EC1142,opp 194,Lamp Column,Drayton Park,531358.25,186047.625,LED
211564,EC786,o/s 80,Lamp Column,Drayton Park,531469,185634.0313,LED
211565,EC790,o/s 88,Lamp Column,Drayton Park,531461,185667,LED
211566,EC793,o/s 1-84,Lamp Column,Drayton Park,531453.25,185706.8438,LED
211567,EC795,o/s 100,Lamp Column,Drayton Park,531445.3125,185740.6094,LED
211568,EC801,side of 82,Lamp Column,Drayton Park,531430.3645,185798.85,LED
211569,EC804,o/s 122,Lamp Column,Drayton Park,531422.639,185833.2946,LED
211570,EC807,o/s134,Lamp Column,Drayton Park,531416.875,185867.8125,LED
211571,EC809,o/s150,Lamp Column,Drayton Park,531408.2534,185904.373,LED
211572,EC812,o/s160,Lamp Column,Drayton Park,531402.371,185930.3273,LED
211573,EC1152,o/s170,Lamp Column,Drayton Park,531394.9854,185961.6966,LED
