X,Y,OBJECTID,STREETID,NSGID,STREET,UNITID,UNITNO,UNITTYPE,LOCATION,HEIGHT,OWNER
363304.890011739,397740.269961048,35159,4340,44103819,NEWTON ROAD (COLS 1-61A),058027,0022,L,O/S 152,10,BE
360731.149989493,402841.120003324,35160,4768,44103545,Westcroft,058028,H0938,L,O/S 18/24,6,HS
362861.329990671,402087.029967507,35161,3689,44103849,Belmont Avenue,058029,0001,L,O/S 1/1A,6,BE
362898.259992425,402088.669967586,35162,3689,44103849,Belmont Avenue,058030,0002,L,O/S 3C/3D,6,BE
362934.769994159,402089.789967639,35163,3689,44103849,Belmont Avenue,058031,0003,L,O/S 5A,6,BE
362972.149995934,402080.049967175,35164,3689,44103849,Belmont Avenue,058032,0004,L,O/S 10/12,6,BE
363011.079997784,402089.229967613,35165,3689,44103849,Belmont Avenue,058033,0005,L,O/S 15,6,BE
363051.129999686,402078.209967088,35166,3689,44103849,Belmont Avenue,058034,0006,L,O/S 28,6,BE
363089.950001529,402086.619967489,35167,3689,44103849,Belmont Avenue,058035,0007,L,O/S 35/37,6,BE
363198.620006692,402052.149965851,35168,3689,44103849,Belmont Avenue,058036,0014,L,O/S 58/60,6,BE
363195.130006526,402003.019963518,35169,3689,44103849,Belmont Avenue,058037,0015,L,O/S 103/105,6,BE
363174.990005569,401987.499962781,35170,3689,44103849,Belmont Avenue,058038,0016,L,S/O 11 BEACON RD,6,BE
